,Type,SMS
844,spam,urgent call landlin complimentari ibiza holiday cash await collect sae cs po box sk wp ppm
845,ham,kk go
846,ham,meanwhil shit suit xavier decid give us lt gt second warn samantha wa come play jay guitar impress shit also nt think doug realiz nt live anymor
847,ham,stomach ha thru much trauma swear ca nt eat better lose weight
848,ham,offic mattermsg nowi call break
849,ham,yeah bare enough room two us x ha mani fuck shoe sorri man see later
850,spam,today offer claim ur worth discount voucher text ye savamob member offer mobil cs sub unsub repli x
851,ham,u reach orchard alreadi u wan go buy ticket first
852,ham,real babi want bring inner tigress
853,ham,da run activ full version da
854,ham,ah poor babi hope urfeel bettersn luv probthat overdos work hey go care spk u sn lot lovejen xxx
855,ham,stop stori told return say order
856,spam,talk sexi make new friend fall love world discreet text date servic text vip see could meet
857,ham,go take babe
858,ham,hai ana tomarrow come morn lt decim gt ill sathi go rto offic repli came home
859,ham,spoon okay
860,ham,say somebodi name tampa
861,ham,work go min
862,ham,brother geniu
863,ham,sorri guess whenev get hold connect mayb hour two text
864,ham,u find time bu coz need sort stuff
865,ham,dude ive see lotta corvett late
866,spam,congratul ur award either yr suppli cd virgin record mysteri gift guarante call ts cs wwwsmsconet pm approx min
867,ham,consid wall bunker shit import becaus never play peac guess place high enough nt matter
868,spam,privat account statement xxxxxx show unredeem point call identifi code expir
869,spam,hello need posh bird chap user trial prod champney put need address dob asap ta r
870,spam,u want xma free text messag new video phone half price line rental call free find
871,ham,well offici philosoph hole u wan na call home readi save
872,ham,go good problembut still need littl experi understand american custom voic
873,ham,text drop x
874,ham,ugh long day exhaust want cuddl take nap
875,ham,talk atleast onc day otherwis miss best friend thi world shakespeare shesil lt gt
876,spam,shop till u drop either k k cash travel voucher call ntt po box crbt fixedlin cost ppm mobil vari
877,ham,castor need see someth
878,spam,sunshin quiz wkli q win top soni dvd player u know countri liverpool play mid week txt ansr sp tyron
879,spam,u secret admir look make contact ufind rreveal think ur specialcal
880,spam,u secret admir look make contact ufind rreveal think ur specialcal stopsms
881,spam,remind download content alreadi paid goto http doit mymobi tv collect content
882,ham,see knew give break time woul lead alway want miss curfew wa gon na gibe til one midnight movi gon na get til need come home need getsleep anyth need b studdi ear train
883,ham,love give massag use lot babi oil fave posit
884,ham,dude go sup
885,ham,yoyyooo u know chang permiss drive mac usb flash drive
886,ham,gibb unsoldmik hussey
887,ham,like talk pa abl dont know
888,ham,dun cut short leh u dun like ah fail quit sad
889,ham,unbeliev faglord
890,ham,wifehow knew time murder exactli
891,ham,whi ask princess
892,ham,great princess think
893,ham,nutter cutter ctter cttergg cttargg ctargg ctagg ie
894,ham,ok noe u busi realli bore msg u oso dunno wat colour choos one
895,ham,doe nt g class earli tomorrow thu nt tri smoke lt gt
896,ham,superb thought grate u dont everyth u want mean u still opportun happier tomorrow u today
897,ham,hope good week check
898,ham,use hope agent nt drop sinc onli book thing thi year thi whole boston nyc wa experi
899,ham,thursday night yeah sure thing work
900,spam,free rington wait collect simpli text password mix verifi get usher britney fml po box mk h ppw
901,ham,probabl money worri thing come due sever outstand invoic work two three month ago
902,ham,possibl teach
903,ham,wonder phone batteri went dead tell love babe
904,ham,love smell thi bu ai nt tobacco
905,ham,get worri derek taylor alreadi assum worst
906,ham,hey charl sorri late repli
907,spam,lastest stereophon marley dizze racal libertin stroke win nookii game flirt click themob wap bookmark text wap
908,ham,ill give onc plu said grinul greet whenev speak
909,ham,white fudg oreo store
910,spam,januari male sale hot gay chat cheaper call nation rate pmin cheap pmin peak stop text call pmin
911,ham,love come took long leav zaher got word ym wa happi see wa sad left miss
912,ham,sorri hurt
913,ham,ca nt feel nauseou piss nt eat ani sweet week caus today wa plan pig wa diet week hungri
914,ham,ok lor earli still project meet
915,ham,call da wait call
916,ham,could ask carlo could get anybodi els chip
917,ham,wa actual send remind today wonder weekend
918,ham,peopl see msg think iam addict msging wrong bcoz dont know iam addict sweet friends bslvyl
919,ham,hey gave photo regist drive ah tmr wan na meet yck
920,ham,dont talk ever ok word
921,ham,u wana see
922,ham,way school pl send ashley number
923,ham,shall fine avalarr hollalat
924,ham,went attend anoth two round todaybut still didt reach home
925,ham,actual delet old websitenow blog magicalsongsblogspotcom
926,ham,k wait chikkuil send aftr lt gt min
927,ham,diet ate mani slice pizza yesterday ugh alway diet
928,ham,k give kvb acc detail
929,ham,oh come ah
930,spam,money r lucki winner claim prize text money million give away pptxnormal text rate box wtji
931,ham,realli sorri wo nt b abl thi fridayhop u find alternativehop yr term go ok
932,ham,congratul ore mo owo wa enjoy wish mani happi moment fro wherev go
933,ham,samu shoulder yet
934,ham,time think need know near campu
935,spam,dear matthew pleas call landlin complimentari lux tenerif holiday cash await collect ppm sae cs box skxh
936,ham,dun wear jean lor
937,ham,sinc side ani fever ani vomitin
938,ham,k kare colleg
939,spam,urgent call landlin complimentari tenerif holiday cash await collect sae cs box hp yf ppm
940,ham,better made friday stuf like pig yesterday feel bleh least writh pain kind bleh
941,ham,sell ton coin sell coin someon thru paypal voila money back life pocket
942,ham,theyr lot place onli hospit medic place safe
943,spam,get touch folk wait compani txt back name age opt enjoy commun psm
944,ham,also sorta blown coupl time recent id rather text blue look weed
945,ham,sent score sopha secondari applic school think think appli research cost also contact joke ogunrind school one less expens one
946,ham,cant wait see photo use
947,spam,ur cashbal current pound maxim ur cashin send go onli pmsg cc po box tcrw
948,ham,hey book kb sat alreadi lesson go ah keep sat night free need meet confirm lodg
949,ham,chk ur belovd ms dict
950,ham,time want come
951,ham,awesom lem know whenev around
952,ham,shb b ok lor thanx
953,ham,beauti truth gravity read care heart feel light someon feel veri heavi someon leav good night
954,ham,also rememb get dobbi bowl car
955,spam,filthi stori girl wait
956,ham,sorri c ur msg yar lor poor thing onli one night tmr u brand new room sleep
957,ham,love nt decis feel could decid love life would much simpler less magic
958,ham,welp appar retir
959,ham,sort code acc bank natwest repli confirm sent thi right person
960,ham,
961,ham,u sure u ca nt take ani sick time
962,spam,urgent tri contact u today draw show prize guarante call land line claim validhr onli
963,ham,watch cartoon listen music amp eve go templ amp church u
964,ham,yo chad gymnast class wan na take site say christian class full
965,ham,thi much buzi
966,ham,better still catch let ask sell lt gt
967,ham,sure night menu know onli noon menu
968,ham,u want come back beauti necklac token heart youthat give onli wife likingb seeno one give thatdont call mei wait till come
969,ham,go aptitud class
970,ham,wont b tri sort hous ok
971,ham,yar lor wan go c hors race today mah eat earlier lor ate chicken rice u
972,ham,haha awesom omw back
973,ham,yup thk e shop close lor
974,ham,account number
975,ham,eh u send wrongli lar
976,ham,hey ad crap nite wa borin without ya boggi u bore biatch thanx u wait til nxt time il ave ya
977,ham,ok shall talk
978,ham,dont hesit know thi second time ha weak like keep notebook eat day befor anyth chang day befor sure noth
979,ham,hey pay salari de onli lt gt
980,ham,anoth month need chocol weed alcohol
981,ham,start search get job daysh great potenti talent
982,ham,reckon need town eightish walk carpark
983,spam,congrat mobil g videophon r call videochat wid mate play java game dload polyph music nolin rentl
984,ham,look fuckin time fuck think
985,ham,yo guess drop
986,ham,carlo say mu lt gt minut
987,ham,offic call lt gt min
988,ham,geeee miss alreadi know think fuck ca nt wait till next year togeth love kiss
989,ham,yun ahth ubi one say ü wan call tomorrowcal look ireneer onli got bus ubi cre ubi tech parkph st wkg daysèn
990,ham,ugh got ta drive back sd la butt sore
991,ham,th juli
992,ham,hi im relax time ever get everi day wa parti good night get home tomorrow ish
993,ham,ü ü wan come come lor din c ani stripe skirt
994,ham,xma stori peace xma msg love xma miracl jesus hav bless month ahead amp wish u merri xma
995,ham,ca nt nt number
996,ham,chang e one next escal
997,ham,yetund class run water make ok pl
998,ham,lot ha happen feel veri quiet beth aunt charli work lot helen mo
999,ham,ü wait bu stop aft ur lect lar dun c ü go get car come back n pick ü
1000,ham,aight thank comin
1001,ham,nobut heard abt tat
1002,spam,pleas call custom servic repres freephon ampm guarante cash prize
1003,ham,yesh realli greatbhaji told kalli best cricket sachin world veri tough get
1004,ham,lt gt think say syllabu
1005,ham,umma say anyth
1006,ham,give sec think think
1007,spam,panason bluetoothhdset free nokia free motorola free doublemin doubletxt orang contract call mobileupd call optout
1008,ham,nt quit know still ca nt get hold anyon cud pick bout pm see pub
1009,ham,poyyarikatur kolathupalayam unjalur post erod di lt gt
1010,ham,dear hero leav qatar tonit apt opportunitypl keep touch lt email gt kerala
1011,ham,lol would mom would fit tell whole famili crazi terribl
1012,ham,got home babe still awak
1013,ham,dunno close oredi ü v fan
1014,ham,buy pizza meat lover suprem u get pick
1015,ham,ya toldsh wa ask wat matter
1016,ham,dear regret cudnt pick calldrov frm ctla cochin homeleft mobil carent style ishtamayoo happi bakrid
1017,spam,free st week nokia tone ur mob everi week txt nokia get txting tell ur mate wwwgetzedcouk pobox wwq normpton
1018,ham,shall send exe mail id
1019,ham,nope watch tv home go v bore
1020,ham,knowwait check
1021,ham,good afternoon thi gloriou anniversari day sweet j hope thi find happi content prey think send teas kiss across sea coax imag fond souveni cougarpen
1022,spam,guess somebodi know secretli fanci wan na find give us call landlin dateboxessexcmxn pmin
1023,ham,still tonight
1024,ham,may call later pl
1025,ham,ha nt pattern recent crap weekend
1026,ham,sore throat scratch talk
1027,ham,ye da ani plm ur offic
1028,ham,around still asleep v
1029,ham,lol forgot eh ye bring babe
1030,ham,good find way
1031,ham,use foreign stamp thi countri good lectur
1032,ham,yup bath liao
1033,ham,happi new year man
1034,ham,oh mr sheffield wan na play game okay boss nanni give rais give one
1035,ham,zoe hit im fuck shitin il defo tri hardest cum morow luv u million lekdog
1036,ham,hello babi get back mom set comput fill belli goe loverboy miss alreadi sighs
1037,ham,blanket suffici thx
1038,ham,naughti littl thought better flirt flirt n flirt rather love someon n gettin hurt hurt n hurt gud nyt
1039,ham,edison ha rightli said fool ask question wise man answer know whi us speechless dure viva gm gn ge gnt
1040,ham,talk de wont ani
1041,ham,today go colleg abl atten class
1042,ham,class holla later
1043,ham,easi ah sen got select mean good
1044,ham,mmm better got roast b better drink good indian
1045,spam,know someon know fanci call find pobox lshb p
1046,ham,come round
1047,ham,thing chang sentenc becaus want concentr educ career im leav
1048,spam,flirt txt girl bloke ur name age eg girl zoe join get chat
1049,ham,walk hour c u show care wont u believ im seriou
1050,spam,day euro kickoff u kept inform latest news result daili unsubscrib send get euro stop
1051,ham,avail soire june rd
1052,ham,u noe wat time e place dat sell close
1053,ham,got anoth job one hospit data analysi someth start monday sure thesi got finish
1054,ham,jay get realli impati belliger
1055,ham,hiya comin bristol st week april le got rudi new yr eve wa snoringthey drunk u bak colleg yet work send ink bath
1056,ham,work pleas call
1057,ham,u drive lor
1058,ham,ard like dat
1059,ham,tell femal v throw decid get
1060,spam,eastend tv quiz flower doe dot compar violet e tulip f lili txt e f chanc win cash wkentp
1061,ham,work technic support voic processnetwork field
1062,ham,might come kerala daysso prepar take leav onc finalis dont plan ani travel dure visitne finish urgent work
1063,ham,ok sure time tho sure get librari befor class tri see point good eve
1064,spam,new local date area lot new peopl regist area repli date start onli wwwflirtpartyu replys
1065,ham,fine bitch later
1066,ham,mum went dentist
1067,ham,onc free call sir wait
1068,ham,meet u work tel shall work tomorrow
1069,spam,someon u know ha ask date servic contact cant guess call reveal po box wu
1070,ham,ju finish bath
1071,ham,alright make sure car back tonight
1072,spam,urgent tri contact u today draw show prize guarante call land line claim c validhr onli
1073,spam,dear u invit xchat thi final attempt contact u txt chat
1074,ham,lul im gettin juici gossip hospit two nurs talk fat gettin one think obes oyea
1075,ham,aight ill get fb coupl minut
1076,ham,oi ami parchi na kicchu kaaj kort iccha korch na phone ta tul na plz plz
1077,ham,download clear movi dvd copi
1078,ham,yep pretti sculptur
1079,ham,convey regard
1080,ham,watch surya movi onli pm vijay movi pokkiri
1081,ham,tell happen dont behav like thi ok need say
1082,ham,u get pic msg phone
1083,ham,send someon els
1084,ham,wat make peopl dearer de happi dat u feel u meet de pain u feel u miss dem
1085,ham,love start attractioni feel need everi time around mesh first thing come thoughtsi would start day end hersh everi time dreamlov everi breath ha namemi life happen around hermi life name heri would cri herwil give happi take sorrowsi readi fight anyon heri love craziest thing herlov nt proov anyon girl beauti ladi whole planeti alway sing prais herlov start make chicken curri end maki sambarlif beauti thenwil get everi morn thank god day becaus mei would like say lotwil tell later
1086,ham,frndship like needl clock though v r clock v r nt abl met evn v meet itz onli second bt v alwi stay conect gud
1087,ham,nt think ha spatula hand
1088,ham,never noth
1089,spam,award sipix digit camera call landlin deliveri within day cs box mbp yr warranti ppm p p
1090,ham,goodmorn today late lt decim gt min
1091,spam,win urgent mobil number ha award prize guarante call land line claim valid hr onli ppm
1092,ham,pleas da call ani mistak side sorri da pl da goto doctor
1093,ham,r meet
1094,ham,well weather cali great complex great need car move freeli tax outrag great place sad part miss home
1095,ham,onli reach home veri tire come tomorro
1096,ham,ryder unsoldnow gibb
1097,spam,dear subscrib ur draw gift voucher b enter receipt correct wa elvi presley birthday txt answer
1098,ham,nt fret buy ovul test strip send wont get til like march send postal addressu alrightokay
1099,ham,gift tri get throw cliff someth
1100,ham,ne thing interest good birthday u wrking nxt start uni today
1101,ham,busi come point figur tomorrow
1102,ham,yeah go bore depress sittin waitin phone ring hope wind drop though scari
1103,ham,black shirt n blue jean thk c ü
1104,ham,aiyah sorri lor watch tv watch forgot check phone
1105,spam,messag import inform user today lucki day find whi log onto http wwwurawinnercom fantast surpris await
1106,ham,hen night go swing
1107,ham,good afternoon love goe day woke earli onlin wait hmmm italian boy onlin see grins
1108,ham,someon smoke everi time smoke last two week becaus call text want smoke
1109,ham,get headach tri figur u trust math promis
1110,ham,sfirst timedhoni rock
1111,ham,ok ill tell compani
1112,ham,awesom think get th usf time tonight
1113,ham,mean still think teju
1114,ham,good movi ok leav hourish
1115,ham,thi kalli home groundamla home town durban
1116,ham,let make saturday monday per conveni
1117,ham,hey time drive fri go evalu fri
1118,spam,price claim call
1119,ham,go lunch wif famili aft dat go str orchard lor
1120,spam,bore speed date tri speedchat txt speedchat nt like em txt swap get new chatter chat poboxwwq pmsg rcd
1121,ham,cancel cheyyamo get money back
1122,spam,want anytim ani network min text new video phone onli five pound per week call repli deliveri tomorrow
1123,ham,okok okthenwhat ur today plan
1124,ham,good morn princess
1125,ham,aiyar sorri lor forgot tell u
1126,spam,take part mobil survey yesterday text use howev wish get txt send txt c wwwtxtcom p
1127,ham,tonight mate catch sleep thi new number way
1128,ham,height oh shit situat guy throw luv letter gal fall brother head gay
1129,spam,ur hmv quiz cashbal current maxim ur cashin send hmv onli pmsg
1130,ham,check error difficulti correct
1131,ham,howz pain hope u r fine
1132,ham,sorri call later
1133,ham,good morn princess
1134,ham,enter cabin pa said happi bday boss felt special askd lunch lunch invit apart went
1135,ham,u wake alreadi thanx e tau sar piah quit nice
1136,ham,k need login anyth
1137,spam,dont forget place mani free request stchoicecouk wish inform call
1138,ham,lol wa busi
1139,ham,u wear
1140,ham,messag text missing sender name missing number miss sent date miss miss u lot everyth miss sent via fullonsmscom
1141,ham,oh usual vijay film differ
1142,spam,nt know u u nt know send chat let find onli pmsg rcvd hgsuitelandsrowwjhl ldn year
1143,ham,good day mine wa realli busi much tomorrow night
1144,ham,way send shade stuff ha wonder
1145,ham,realli tot ur paper end long ago wat u copi ju got use u happi lar still haf studi
1146,spam,thank winner notifi sm good luck futur market repli stop custom servic
1147,ham,babe lost
1148,ham,ok help ask work tmr
1149,ham,drive rain get caught e mrt station lor
1150,ham,drop tank
1151,ham,said text one time
1152,ham,sorri call later
1153,ham,ok go chang also
1154,spam,girl mani local u r virgin thi r readi fil ur everi sexual need u fil text cute p
1155,ham,u find sitter kaitlyn wa sick slept day yesterday
1156,ham,sorri man accident left phone silent last night nt check til got
1157,ham,hey someth came last min think wun sign tmr hee
1158,ham,adult would learn experi real danger dont like peep use drug dont need comment
1159,ham,hey veggi pizza
1160,ham,yun buy school got offer plu onli
1161,ham,sure neighbor didnt pick
1162,ham,k sent
1163,spam,free entri wkli comp win fa cup final tkt st may text fa receiv entri question std txt rate c appli
1164,ham,new theori argument win situat lose person dont argu ur friend kick amp say alway correct
1165,ham,well im computerless time make oreo truffl
1166,ham,haha yeah see sec
1167,ham,number sir
1168,ham,lol hot air balloon
1169,ham,ok bu come soon come otherwis tomorrow
1170,ham,msg r time passthey silent say think u right also make u think least moment gd ntswt drm shesil
1171,ham,yeah probabl swing onc roommat finish hi girl
1172,spam,got take take part wrc ralli oz u lucozad energi text ralli le p see pack lucozadecoukwrc itcould u
1173,ham,happi new year melodi
1174,ham,ü dun need pick ur gf
1175,ham,yay better told girl either
1176,ham,horribl u eat mac eat u forgot abt alreadi rite u take long repli thk toot b b prepar wat shall eat
1177,ham,say fantast ani chanc anyth need bigger life lift lose live think would first person die n v q
1178,ham,nw came hme da
1179,ham,outsid island head toward hard rock run
1180,ham,day class class
1181,ham,chennai velacheri
1182,ham,flippin shit yet
1183,ham,k give sec break lt gt cstore
1184,ham,much bad avoid like thi
1185,ham,yo around got car back
1186,ham,annoy nt
1187,ham,goodmorn today late lt gt min
1188,ham,point hangin mr right makin u happi
1189,ham,come alivebett correct ani good look figur
1190,ham,case guess see campu lodg
1191,ham,done
1192,ham,come home one last time wont anyth trust
1193,ham,wa night worri thi appt shame miss girl night quizz popcorn hair
1194,spam,sex ur mobil free sexi pic jordan text babe everi wk get sexi celeb pocketbabecouk pic wk
1195,ham,ok c ya
1196,spam,new voicemail pleas call
1197,ham,said matter mind say matter
1198,ham,also know lunch menu onli da know
1199,ham,al doe moan n e thin goe wrong fault al de argument r fault fed himso bother hav go thanxxx
1200,ham,neft transact refer number lt gt rs lt decim gt ha credit beneficiari account lt gt lt time gt lt gt
1201,ham,otherwis part time job natuition
1202,ham,know call
1203,ham,also da feel yesterday night wait til day night dear
1204,ham,thank understand tri tell sura
1205,spam,win year suppli cd store ur choic worth enter weekli draw txt music ts cs wwwldewcomsubswinppmx
1206,ham,whole car appreci last two dad map read semi argument apart thing go ok p
1207,spam,sim subscrib select receiv bonu get deliv door txt word ok claim pmsg exp apr
1208,ham,need strong arm
1209,ham,also maaaan miss
1210,ham,hi bday real april
1211,ham,guessin ai nt gon na befor
1212,ham,ok come ur home half hour
1213,ham,yo game almost want go walmart soon
1214,ham,yeah probabl sure ilol let u know person wuldnt bother ur goin mite well
1215,ham,text creepi like wo nt think forgot
1216,ham,would good phone tomo lunchtim shall organis someth
1217,spam,new voicemail pleas call
1218,ham,damn make tonight want wait til tomorrow
1219,ham,kki also fine complet cours
1220,ham,true passabl get high score appli phd get year salari make life easier
1221,spam,nokia tone ur mob everi week txt nok st tone free get txtin tell ur friend ptone repli hl info
1222,ham,prakesh know
1223,ham,teach app da come colleg
1224,ham,rofl betta invest anti age product
1225,spam,winner u special select receiv cash holiday flight inc speak live oper claim
1226,ham,sir receiv account anoth hr time sorri delay
1227,spam,repli name address receiv post week complet free accommod variou global locat wwwphbcom php
1228,ham,ü submit da project tmr rite
1229,spam,free entri weekli comp send word enter c wwwtextcompcom cust care
1230,ham,ju lar u noe later
1231,ham,want send someth sell fast lt gt k easi money
1232,ham,got thing may pub later
1233,ham,finish meet call
1234,ham,lol ok snatch purs
1235,ham,hello drivbyquit edrunk sorri iff pthi make senrddnot dancc drum n basq ihav fun nhite x ro xxxxxxx
1236,ham,opinion jada kusruthi lovabl silent spl charact matur stylish simpl pl reply
1237,ham,much get
1238,ham,ur paper e morn aft tmr
1239,ham,dear reliev westonzoyland go plan thi end
1240,ham,hope great new semest wish veri best made great
1241,ham,oh ye speak txt u hmm u get email
1242,ham,want show world princess europ
1243,ham,nobodi decid eat dad want chines
1244,ham,shoot doc wait room
1245,ham,go dinner soon
1246,ham,hello site download song urgent pl
1247,ham,know u mean king havin credit goinb night night sweet onlymor sleep
1248,ham,horribl gal sch stuff come u got mc
1249,ham,hi hun im comin nitetel every im sorri hope u ava goodtim oli rang melnit ifink mite b sort il explain everythin monlrsx
1250,ham,call later nt network urgnt sm
1251,ham,ummmmmaah mani mani happi return day dear sweet heart happi birthday dear
1252,spam,pleas call immedi urgent messag wait
1253,ham,yeah like goe like friend imma flip shit like half hour
1254,ham,mum say wan go go shun bian watch da glass exhibit
1255,ham,plan pongal
1256,ham,wait till end march el nino get oh
1257,ham,yet chikkugo room nw bus
1258,ham,also cbe onli pay
1259,ham,honey boo miss u
1260,ham,sent jd custom servic cum account execut ur mail id detail contact us
1261,ham,yo parent gettin cash good news pick downstem
1262,ham,thank much skype wit kz sura didnt get pleasur compani hope good given ultimatum oh countin aburo enjoy
1263,spam,hungri gay guy feel hungri call pmin stop text call pmin
1264,ham,ok wahala rememb friend need
1265,ham,see half hour
1266,ham,im inperialmus listeningth weirdest track ever leafcutt john sound like insect molest someon plumb remix evil men acid
1267,ham,hey sorri didntgiv ya bellearli hunni bedbut mite go thepub ltr uwana mt load luv jenxxx
1268,ham,serious tell exact word right
1269,spam,u get phone wan na chat set meet call u cum moro luv jane xx calls minmoremobsemspoboxpowa
1270,ham,tee hee lectur cheeri bye bye
1271,ham,sorri chikku cell got problem tht wa nt abl repli u msg u
1272,ham,still havent collect dough pl let know go place sent get control number
1273,ham,ok
1274,spam,network oper servic free c visit biz
1275,ham,let know contact settl room let know ok
1276,ham,wot u u weirdo
1277,ham,lor
1278,ham,dont put phone silent mode ok
1279,ham,meet ü depend ü wan lor
1280,ham,wait tv show start lor u leh still busi ur report
1281,ham,oh ho thi first time u use type word
1282,ham,onli one doe nt stalk profil
1283,ham,ever green quot ever told jerri cartoon person irrit u alway one love u vri much fail express gud nyt
1284,ham,ye thought thank
1285,ham,drinkin ok
1286,ham,wonder took
1287,ham,night ha end anoth day morn ha come special way may smile like sunni ray leav worri blue blue bay gud mrng
1288,ham,dog must alway wait till end day word run time cell alreadi
1289,ham,happi new year u
1290,ham,hey great deal farm tour pm pax deposit may
1291,ham,eat jap done oso aft ur lect wat ü got lect rite
1292,ham,hey babe saw came onlin second disappear happen
1293,ham,da birthdat certif april real date today dont publish shall give special treat keep secret ani way thank wish
1294,ham,happi birthday may ur dream come true
1295,ham,aiyah u ok alreadi lar e nydc wheellock
1296,ham,tell said eat shit
1297,ham,sure drive reach destin soon
1298,ham,k much th fifti
1299,ham,daili text favour thi time
1300,ham,great hear settl well happenin wit ola
1301,ham,cocksuck make feel better ipad worthless garbag novelti item feel bad even want one
1302,ham,tot u reach liao said tshirt
1303,ham,fran decid go n e way im complet broke knacker got bout c u mrw love janx p thi dad fone credit
1304,ham,cant pick phone right pl send messag
1305,ham,right make appoint right
1306,ham,design softwar develop may get chennai
1307,spam,enjoy jamster videosound gold club credit new videosounds logosmusicnew get fun jamstercouk onli help call
1308,spam,get lion england tone repli lionm mono lionp poli go wwwringtonescouk origin n best tone gbp network oper rate appli
1309,ham,jokin oni lar ü busi wun disturb ü
1310,ham,ok care nt text drive
1311,ham,ill alway even spirit ill get bb soon tri sure need
1312,ham,u r much close heart u go away shatter plz stay
1313,ham,love u babe r u sure everyth alrit idiot txt bak girli
1314,ham,abt make pic bigger
1315,ham,got got colour lor one colour quit light n e darker lor actual done style hair
1316,ham,whenevr ur sad whenevr ur gray remembr im listn watevr u wan na say ju walk wid littl amp promis bring back ur smile
1317,ham,whi noth ok anyway give treat
1318,spam,win newest harri potter order phoenix book repli harri answer question chanc first among reader
1319,ham,ok
1320,ham,correct wa work today
1321,ham,sent scream moan bed princess
1322,ham,wake long ago alreadi dunno thing
1323,ham,oh get even u u
1324,ham,thk shd ok said plu minu ü leav line paragraph
1325,ham,call plz number show coveragd area urgnt call vasai amp reach befor clock call plz
1326,ham,yeah jay sort fuck retard
1327,ham,sorri wa bathroom sup
1328,spam,ur balanc ur next question sang uptown girl answer txt ur answer good luck
1329,ham,exam februari wish great day
1330,ham,dont know come thi onli ask question like thi dont mistak
1331,ham,aight rush ask jay
1332,ham,good morn plz call sir
1333,ham,ok lar u sleep earli nite
1334,ham,oh icic k lor den meet day
1335,ham,oh half hour much longer syria canada eh wow must get much work done day us extra time grins
1336,ham,sometim put wall around heart safe get hurt find care enough break wall amp get closer goodnoon
1337,ham,sweet may may go u meet carlo gaug patti interest
1338,ham,buy today ü need c meh
1339,ham,aight sorri take ten year shower plan
1340,ham,everi mondaynxt week vl completing
1341,ham,might ax well im
1342,ham,chill anoth hr could sleep pain surgic emerg see unfold okay
1343,ham,yeah tri scroung someth
1344,ham,crazi ar marri ü like gd look guy fren like say korean leona fave dun thk aft think mayb prob go
1345,ham,somewher fredericksburg
1346,ham,que pase un buen tiempo someth like
1347,ham,ok stay night xavier ha sleep bag get tire
1348,ham,doesnt need ani test
1349,ham,noth much chillin home ani super bowl plan
1350,spam,freeday sexi st georg day pic jordan txt pic dont miss everi wk sauci celeb pic c pocketbabecouk wk
1351,ham,bugi oso near wat
1352,ham,yo class tmrw right
1353,ham,let ur heart ur compass ur mind ur map ur soul ur guid u never loos world gnun sent via waysmscom
1354,ham,goodnight sleep well da pleas take care pa pleas
1355,ham,baaaaab misss youuuuu go teach class
1356,ham,convey regard
1357,ham,u ned convinc tht possibl witot hurt hi feel main
1358,ham,good afternoon loverboy goe day ani luck come way think sweeti send love across sea make smile happi
1359,ham,start send blackberri torch nigeria find buyer like month tell dad buy bb anyon oh
1360,ham,lt gt pple marri lover becz hav gud undrstndng dat avoid problem sent di u u wil get gud news friday person like tomorrow best day life dont break thi chain break suffer send thi lt gt frnd lt gt min whn u read
1361,ham,yo dude guess got arrest day
1362,ham,shuhui say chang suntec steamboat u noe r u
1363,ham,doe danc river
1364,ham,yetund sorri moji seem busi abl go shop pleas find way get want us get pleas forgiv repli free via yahoo messeng
1365,ham,hey realli pretti late want go lesson first join onli reach tp mrt
1366,spam,hot live fantasi call p per min ntt ltd po box croydon cr wb k
1367,ham,bbq thi sat mine ish ur welcom come
1368,ham,nt know thing wrong everyso often panick start goin bout bein good enough
1369,ham,alright good night
1370,ham,tri make anoth butt
1371,ham,hope feel great pl fill abiola
1372,ham,though shd go n fun bar town someth sound ok
1373,ham,go write msg put dictionari mode cover screen hand press lt gt gentli remov ur hand interesting
1374,spam,bear pic nick tom pete dick fact type tri gay chat photo upload call pmin stop text call
1375,spam,new mobil must go txt nokia collect today onli wwwtcbiz optout gbpmtmsg txtauction
1376,ham,final readi fyi
1377,ham,aunti huai juan never pick phone
1378,spam,doubl min doubl txt price linerent latest orang bluetooth mobil call mobileupd veri latest offer calloptoutlf
1379,ham,ya tel wat ur problem
1380,spam,nokia tone ur mob everi week txt nok st tone free get txtin tell ur friend ptone repli hl info
1381,ham,dnt wnt tlk wid u
1382,ham,spend day wait ideal path appear front us forget path made walking waiting goodnight
1383,ham,ok arm feel weak cuz got shot go anoth time
1384,ham,pleas reserv ticket saturday eve chennai thirunelvali tirunelvali chennai sunday eve alreadi see netno ticket availablei want book ticket tackl
1385,ham,storm msg wen u lift phne u say hello u knw wt real mean hello name girl yes u knw dat girl margaret hello girlfrnd f grahmbel invnt telphon moral one get name person bt hi girlfrnd g n g h
1386,ham,ok pop ask bout someth said around tonght wen thi girl come
1387,ham,e best ur exam later
1388,ham,hope ur head doe nt hurt much plough way pile iron stay chinki tonight come round like
1389,ham,oh ki think wi nz player unsold
1390,ham,haha got fast lose weight thk muz go month den got effect gee later go aust put bk e weight
1391,ham,wonder got onlin love gone net cafe get phone recharg friend net think boytoy
1392,ham,haha kid papa need drug
1393,ham,thk shld b ya wana go lesson haha go one whole stretch
1394,ham,oh ok
1395,ham,r still meet dinner tonight
1396,ham,cool gentleman treat digniti respect
1397,ham,shall start hear
1398,ham,wait u lor need feel bad lar
1399,ham,check got hi detail messag
1400,ham,regist sinco paye log icicibankcom enter urn lt gt confirm bewar fraud share disclos urn anyon
1401,ham,decid onli peopl care stuff vote care stuff loser
1402,ham,kaiez enjoy ur tuition gee thk e second option sound beta go yan jiu den msg u
